Gene	Estimate	Std_Error	z_value	P_value	Null_deviance	Residual_deviance	NoMutWTPrim	NoMutWTMeta	MutWTPrim	MutWTMeta	NoMutCNVPrim	NoMutCNVMeta	MutCNVPrim	MutCNVMeta	Is.OG	Is.TSG	Tissue	Subtype	FDR_2way_signif	CNA_type	Size	Adj_Pval_subset	SIG_FDR05_subset	SIG_FDR10_subset	SIG_FDR20_subset	SIG_WOFDR	LogP	Function	Estimate_2way	P_val_2way	Adj_Pval_2way	CNA_type_2way
CDH1	0.509027063470031	0.236347654539124	2.15372166253408	0.0312620062736334	1982.96946769654	2.78665979148982e-13	930	628	104	67	381	218	98	89	No	Yes	Breast	Breast	FDR10	Loss	2515	0.203203040778617	FALSE	FALSE	FALSE	TRUE	0.692069797453605	2	-1.04687365454631	2.5703041097384e-19	1.72210375352473e-17	Loss
PTEN	-1.01430410898822	0.414846556056032	-2.44501031569664	0.0144847998885939	4357.46644613294	-1.09467990228044e-13	1342	844	88	52	92	120	27	12	No	Yes	Breast	Breast	FDR10	Loss	2577	0.188302398551721	FALSE	FALSE	TRUE	TRUE	0.725144148007007	2	-1.04062520065523	1.22771456434785e-07	1.64513751622612e-06	Loss
APC	0.49971173584437	0.214362941351034	2.33114797126271	0.0197455585116563	5116.59071034883	-3.46389583728646e-13	1573	738	1740	804	104	62	124	120	No	Yes	Core-GI	Core-GI	FDR10	Loss	5265	0.118473351069938	FALSE	FALSE	TRUE	TRUE	0.92637932716294	2	-0.291019007533675	0.00552850669114831	0.0334694908225679	Loss
AXIN1	-1.68179915925289	0.71505760138163	-2.35197717778725	0.0186739206396282	6349.99561619721	1.38333788868283e-13	1680	955	13	15	81	78	11	4	No	Yes	Developmental-GI-Tract	Developmental-GI-Tract	FDR10	Loss	2837	0.102706563517955	FALSE	FALSE	TRUE	TRUE	0.988401801694382	2	-2.1568843128872	2.07765568410899e-10	1.62057143360501e-09	Loss
BAP1	-1.29884034051923	0.63779034437678	-2.0364691186857	0.041703271004594	5659.4572672342	-2.10276240864007e-13	1620	936	49	12	109	130	29	4	No	Yes	Developmental-GI-Tract	Developmental-GI-Tract	FDR10	Loss	2889	0.152911993683511	FALSE	FALSE	TRUE	TRUE	0.815558449275155	2	-1.74492816955482	2.64105198793408e-14	3.4333675843143e-13	Loss
TP53	0.638402736430208	0.258570099063452	2.46897355395121	0.0135501232150743	2134.86776890689	-2.22044625079743e-14	735	366	874	517	61	36	113	150	No	Yes	Developmental-GI-Tract	Developmental-GI-Tract	FDR10	Loss	2852	0.102706563517955	FALSE	FALSE	TRUE	TRUE	0.988401801694382	2	-0.770002744954844	9.72648956386095e-10	6.32221821650962e-09	Loss
CDKN2A	-1.37452284133742	0.693756166436	-1.98127657502302	0.0475602658637678	6903.36250236363	-1.39221967288014e-13	2139	1043	35	15	450	276	22	3	No	Yes	Genitourinary	Genitourinary	FDR10	Loss	3983	0.212418732441653	FALSE	FALSE	FALSE	TRUE	0.672807187038232	2	-0.76501276913179	0.00244989433107079	0.0200891335147805	Loss
PBRM1	-1.04254320809929	0.322480525023789	-3.23288734419662	0.00122545878254178	7276.63559367289	1.2789769243679e-13	2293	1135	121	73	131	97	66	21	No	Yes	Genitourinary	Genitourinary	FDR10	Loss	3937	0.0147055053905014	TRUE	TRUE	TRUE	TRUE	1.83252004531303	2	-1.90614761174204	1.25740907104015e-38	5.15537719126461e-37	Loss
TP53	-0.81942519909892	0.305846349812302	-2.67920542325191	0.00737971045709462	1468.9116615196	-4.37427871702335e-14	686	284	510	528	26	26	245	270	No	Yes	Gynecologic	Gynecologic	FDR10	Loss	2575	0.00737971045709462	TRUE	TRUE	TRUE	TRUE	2.13196067738467	2	-2.24257503639024	2.30306626307019e-48	4.03036596037283e-46	Loss
ASXL1	-1.24348739736369	0.558340991126152	-2.22711106138854	0.0259398521247358	11066.5782076184	-9.32587340686825e-15	3041	1690	57	42	143	204	11	6	No	Yes	Thoracic	Thoracic	FDR10	Gain	5194	0.216165434372798	FALSE	FALSE	FALSE	TRUE	0.665213750074209	2	0.802862949997467	0.00354527248466552	0.0141810899386621	Gain
PIK3CG	-0.848778813971747	0.375622118145672	-2.25966143357559	0.023842271618464	9876.76561175878	4.30544488949631e-13	2963	1557	117	78	149	260	19	18	Yes	No	Thoracic	Thoracic	FDR10	Gain	5161	0.216165434372798	FALSE	FALSE	FALSE	TRUE	0.665213750074209	1	0.720439614407276	0.000134496033361147	0.000941472233528029	Gain
PTPRT	0.850843079357167	0.376843306846834	2.2578166147528	0.0239570949376453	9665.93622309258	1.34114941374681e-13	2895	1633	191	113	142	159	12	33	No	Yes	Thoracic	Thoracic	FDR10	Gain	5178	0.216165434372798	FALSE	FALSE	FALSE	TRUE	0.665213750074209	2	0.784489101191962	5.08730710095481e-06	5.69778395306939e-05	Gain
KEAP1	-0.589157204647759	0.234493229679287	-2.51246999946881	0.0119889298272613	7889.93327035159	3.78364006684081e-13	2741	1440	316	223	121	188	57	66	No	Yes	Thoracic	Thoracic	FDR10	Loss	5152	0.125883763186244	FALSE	FALSE	TRUE	TRUE	0.900030282706773	2	-1.12412922711675	4.45220232498165e-22	1.05739805218314e-20	Loss
PTEN	-0.745690469310734	0.334463095608818	-2.22951494230885	0.0257796622313007	10452.3669935709	9.61453139325332e-14	3026	1648	84	47	128	238	32	29	No	Yes	Thoracic	Thoracic	FDR10	Loss	5232	0.180457635619105	FALSE	FALSE	TRUE	TRUE	0.743624737117437	2	-1.77646930088537	5.97861132525539e-27	2.83984037949631e-25	Loss
TP53	-0.488713007876641	0.164248983335701	-2.97544007854091	0.00292568501535233	3332.80696123907	4.20330437122367e-13	1606	628	1296	871	115	140	254	326	No	Yes	Thoracic	Thoracic	FDR10	Loss	5236	0.0614393853223989	FALSE	TRUE	TRUE	TRUE	1.21155313790535	2	-0.854432034833679	5.7465959462655e-26	1.81975538298408e-24	Loss
